t,x1,y1,x2,y2,sep
600540.0540054005,0.0125012501250125,-40884643660791.43,-3218014367698.605,20442321830395.715,1609007183849.3025,61516638671308.81
605344.3744374437,0.0126012601260126,-40882613448731.92,-3243704879018.951,20441306724365.96,1621852439509.4756,61516638671308.81
610148.694869487,0.012701270127012701,-40880567093635.63,-3269394109519.8325,20440283546817.816,1634697054759.9163,61516638671308.83
614953.0153015301,0.012801280128012802,-40878504596310.59,-3295082049057.5166,20439252298155.297,1647541024528.7583,61516638671308.81
619757.3357335733,0.012901290129012902,-40876425957571.21,-3320768687488.7817,20438212978785.605,1660384343744.3909,61516638671308.8
624561.6561656166,0.013001300130013002,-40874331178238.266,-3346454014670.924,20437165589119.133,1673227007335.462,61516638671308.81
629365.9765976598,0.013101310131013101,-40872220259138.9,-3372138020461.7534,20436110129569.45,1686069010230.8767,61516638671308.83
634170.2970297029,0.0132013201320132,-40870093201106.63,-3397820694719.604,20435046600553.316,1698910347359.802,61516638671308.81
638974.6174617462,0.013301330133013302,-40867950004981.38,-3423502027303.3345,20433975002490.69,1711751013651.6672,61516638671308.81
643778.9378937894,0.0134013401340134,-40865790671609.4,-3449182008072.3315,20432895335804.7,1724591004036.1658,61516638671308.81
648583.2583258325,0.013501350135013501,-40863615201843.33,-3474860626886.5205,20431807600921.664,1737430313443.2603,61516638671308.8
653387.5787578757,0.0136013601360136,-40861423596542.195,-3500537873606.359,20430711798271.098,1750268936803.1794,61516638671308.81
658191.899189919,0.013701370137013702,-40859215856571.37,-3526213738092.8506,20429607928285.684,1763106869046.4253,61516638671308.83
662996.2196219622,0.013801380138013804,-40856991982802.6,-3551888210207.543,20428495991401.3,1775944105103.7715,61516638671308.81
667800.5400540053,0.0139013901390139,-40854751976114.04,-3577561279812.5317,20427375988057.02,1788780639906.2659,61516638671308.81
672604.8604860486,0.014001400140014001,-40852495837390.16,-3603232936770.47,20426247918695.08,1801616468385.235,61516638671308.8
677409.1809180918,0.014101410141014101,-40850223567521.83,-3628903170944.567,20425111783760.914,1814451585472.2834,61516638671308.8
682213.501350135,0.0142014201420142,-40847935167406.3,-3654571972198.5933,20423967583703.15,1827285986099.2966,61516638671308.81
687017.8217821782,0.014301430143014302,-40845630637947.16,-3680239330396.8857,20422815318973.58,1840119665198.4429,61516638671308.8
691822.1422142214,0.0144014401440144,-40843309980054.38,-3705905235404.3496,20421654990027.19,1852952617702.1748,61516638671308.81
696626.4626462646,0.014501450145014501,-40840973194644.33,-3731569677086.466,20420486597322.164,1865784838543.233,61516638671308.81
701430.7830783078,0.0146014601460146,-40838620282639.695,-3757232645309.294,20419310141319.848,1878616322654.647,61516638671308.836
706235.103510351,0.014701470147014698,-40836251244969.555,-3782894129939.473,20418125622484.777,1891447064969.7366,61516638671308.81
711039.4239423942,0.0148014801480148,-40833866082569.36,-3808554120844.2285,20416933041284.68,1904277060422.1143,61516638671308.83
715843.7443744374,0.0149014901490149,-40831464796380.92,-3834212607891.378,20415732398190.46,1917106303945.689,61516638671308.83
720648.0648064807,0.015001500150015001,-40829047387352.42,-3859869580949.328,20414523693676.21,1929934790474.664,61516638671308.81
725452.3852385238,0.015101510151015102,-40826613856438.41,-3885525029887.0884,20413306928219.203,1942762514943.5442,61516638671308.81
730256.705670567,0.0152015201520152,-40824164204599.79,-3911178944574.266,20412082102299.895,1955589472287.133,61516638671308.83
735061.0261026103,0.015301530153015303,-40821698432803.84,-3936831314881.0776,20410849216401.92,1968415657440.5388,61516638671308.83
739865.3465346535,0.015401540154015401,-40819216542024.2,-3962482130678.347,20409608271012.1,1981241065339.1736,61516638671308.81
744669.6669666966,0.0155015501550155,-40816718533240.89,-3988131381837.5117,20408359266620.445,1994065690918.7559,61516638671308.81
