# Cooling curves for integrated and approximate forms of dust cooling, grain size, a = 1.000e-01
T,Lambda_int,h_e_int,H_el_int,Lambda_approx,h_e_approx,H_el_approx,Hcoll
1.758e+07,4.013e-09,8.209e-01,1.674e-05,3.776e-09,7.714e-01,1.573e-05,3.963e-07
1.950e+07,4.431e-09,7.749e-01,1.846e-05,4.144e-09,7.234e-01,1.723e-05,4.624e-07
2.163e+07,4.851e-09,7.251e-01,2.018e-05,4.547e-09,6.784e-01,1.888e-05,5.392e-07
2.399e+07,5.267e-09,6.726e-01,2.186e-05,4.990e-09,6.362e-01,2.068e-05,6.279e-07
2.661e+07,5.672e-09,6.186e-01,2.349e-05,5.476e-09,5.966e-01,2.265e-05,7.298e-07
2.951e+07,6.061e-09,5.645e-01,2.504e-05,6.009e-09,5.595e-01,2.482e-05,8.460e-07
3.273e+07,6.432e-09,5.112e-01,2.649e-05,6.595e-09,5.247e-01,2.719e-05,9.774e-07
3.631e+07,6.780e-09,4.597e-01,2.783e-05,7.237e-09,4.920e-01,2.978e-05,1.125e-06
4.027e+07,7.104e-09,4.108e-01,2.905e-05,7.928e-09,4.606e-01,3.257e-05,1.288e-06
4.467e+07,7.403e-09,3.650e-01,3.015e-05,7.970e-09,3.943e-01,3.257e-05,1.468e-06
4.955e+07,7.677e-09,3.225e-01,3.112e-05,8.016e-09,3.375e-01,3.257e-05,1.663e-06
5.495e+07,7.927e-09,2.837e-01,3.198e-05,8.065e-09,2.889e-01,3.257e-05,1.874e-06
6.095e+07,8.154e-09,2.485e-01,3.272e-05,8.118e-09,2.474e-01,3.257e-05,2.099e-06
6.761e+07,8.359e-09,2.169e-01,3.336e-05,8.174e-09,2.117e-01,3.257e-05,2.338e-06
7.499e+07,8.544e-09,1.887e-01,3.390e-05,8.233e-09,1.813e-01,3.257e-05,2.589e-06
8.318e+07,8.711e-09,1.637e-01,3.435e-05,8.294e-09,1.552e-01,3.257e-05,2.851e-06
9.226e+07,8.863e-09,1.416e-01,3.472e-05,8.358e-09,1.328e-01,3.257e-05,3.124e-06
1.023e+08,9.001e-09,1.223e-01,3.503e-05,8.424e-09,1.137e-01,3.257e-05,3.408e-06
1.135e+08,9.127e-09,1.054e-01,3.528e-05,8.493e-09,9.735e-02,3.257e-05,3.700e-06
1.259e+08,9.243e-09,9.076e-02,3.547e-05,8.564e-09,8.333e-02,3.257e-05,4.002e-06
1.396e+08,9.351e-09,7.802e-02,3.562e-05,8.637e-09,7.134e-02,3.257e-05,4.314e-06
1.549e+08,9.452e-09,6.700e-02,3.573e-05,8.712e-09,6.107e-02,3.257e-05,4.635e-06
1.718e+08,9.549e-09,5.748e-02,3.581e-05,8.789e-09,5.228e-02,3.257e-05,4.965e-06
1.905e+08,9.641e-09,4.929e-02,3.587e-05,8.869e-09,4.475e-02,3.257e-05,5.306e-06
2.113e+08,9.732e-09,4.223e-02,3.590e-05,8.952e-09,3.831e-02,3.257e-05,5.659e-06
2.344e+08,9.820e-09,3.617e-02,3.592e-05,9.037e-09,3.280e-02,3.257e-05,6.023e-06
2.600e+08,9.909e-09,3.096e-02,3.592e-05,9.125e-09,2.808e-02,3.257e-05,6.400e-06
2.884e+08,9.997e-09,2.649e-02,3.590e-05,9.217e-09,2.403e-02,3.257e-05,6.792e-06
